,name,sector,location,rating,reviews,jobs
2312,Oriental Structural Engineers,Engineering & Construction ,New Delhi +63 other locations,4.3,470,2
2313,Samsung Display,Electronics Manufacturing ,Noida +12 other locations,3.8,470,1
2314,Tata International,Import & Export ,Mumbai +40 other locations,3.5,470,18
2315,Jindal Aluminium,Metals & Mining ,Bengaluru +20 other locations,3.9,470,21
2316,Comcast,Telecom ,Chennai +12 other locations,3.9,470,1
2317,Bahwan Engineering,Engineering & Construction ,Muscat +24 other locations,4.0,470,1
2318,Nash Industries,Industrial Machinery ,Bengaluru +15 other locations,3.4,470,6
2319,Cloud4C,IT Services & Consulting ,Hyderabad +9 other locations,3.5,470,--
2320,Godrej Interio,Furniture & Furnishing ,Mumbai +68 other locations,3.8,469,--
2321,Aditya Birla Housing Finance,NBFC ,Mumbai +95 other locations,3.8,469,--
2322,Xanadu,Real Estate ,Mumbai +13 other locations,3.7,469,3
2323,MagicPin,Internet ,Gurugram +20 other locations,2.5,469,7
2324,British Council,Education & Training ,New Delhi +24 other locations,3.5,469,20
2325,SBI Mutual Fund,Financial Services ,Mumbai +153 other locations,3.7,469,7
2326,Gulf Oil Lubricants,Oil & Gas ,Mumbai +82 other locations,4.1,469,3
2327,Thales,IT Services & Consulting ,Noida +18 other locations,3.6,469,165
2328,WM Universal Solutions Private Limited,Waste Management ,Indore +18 other locations,3.6,469,160
2329,Dana India,Auto Components ,Pune +26 other locations,4.0,469,5
2330,Paharpur Cooling Towers,Industrial Machinery ,Kolkata +51 other locations,3.9,468,6
2331,Magneti Marelli Motherson Auto System,Auto Components ,Pune +19 other locations,3.8,468,--
2332,McNally Bharat Engineering,Engineering & Construction ,Kolkata +57 other locations,3.9,468,1
2333,Qcon,Engineering & Construction ,Mumbai +28 other locations,4.4,468,--
2334,Saxo Bank,Financial Services ,Gurugram +5 other locations,3.7,468,16
2335,Atyati Technologies,IT Services & Consulting ,Bengaluru +103 other locations,4.0,468,1
2336,Visaka Industries,Building Material ,Hyderabad +59 other locations,3.8,468,16
2337,NBTC GROUP,Oil & Gas ,Chennai +27 other locations,3.2,467,3
2338,Liberty General Insurance,Insurance ,Mumbai +85 other locations,3.7,467,1
2339,Anthem Biosciences,Pharma ,Bengaluru +15 other locations,3.9,467,--
2340,Marble Box,BPO ,Kolkata +6 other locations,3.7,467,--
2341,Mediamint,Marketing & Advertising ,Hyderabad +8 other locations,2.8,467,63
2342,Symphony,Consumer Electronics & Appliances ,Ahmedabad +88 other locations,4.6,467,1
2343,Allied Blenders & Distillers,Beverage ,Mumbai +83 other locations,4.0,467,1
2344,Hyundai Glovis,Logistics ,Anantapur +22 other locations,3.7,466,1
2345,smartData Enterprises,IT Services & Consulting ,Nagpur +12 other locations,2.9,466,4
2346,Cera Sanitaryware,Building Material ,Ahmedabad +79 other locations,4.0,466,12
2347,CommScope,Telecom ,Bengaluru +20 other locations,3.8,465,11
2348,Jupiter Hospital,Healthcare ,Pune +14 other locations,3.9,465,8
2349,Zaalima Development,IT Services & Consulting ,Bengaluru +16 other locations,4.3,464,--
2350,Dow Chemical International Private Limited,Chemicals ,Mumbai +16 other locations,3.6,464,78
2351,GM Modular,Electrical Equipment ,Mumbai +72 other locations,3.8,464,34
2352,Yethi Consulting,IT Services & Consulting ,Bengaluru +11 other locations,3.4,463,3
2353,CS TECH Ai,IT Services & Consulting ,Nagpur +47 other locations,3.9,463,--
2354,NKG Infrastructure,Engineering & Construction ,New Delhi +47 other locations,3.2,463,8
2355,Kaynes Technology,Electronics Manufacturing ,Mysuru +17 other locations,3.2,463,8
2356,MKC Infrastructure Ltd.,Engineering & Construction ,Gandhinagar +51 other locations,3.5,463,10
2357,Revent Group,Auto Components ,Gurugram +30 other locations,3.8,462,--
2358,GHCL Limited,Chemicals ,Sutrapada +29 other locations,3.9,462,7
2359,Essjay Ericsson,Analytics & KPO ,New Delhi +79 other locations,4.2,462,--
2360,Bharat Seats,Auto Components ,Gurugram +21 other locations,3.7,462,7
2361,Sulekha.com,Internet ,Chennai +19 other locations,3.3,462,1
2362,IDS Infotech,IT Services & Consulting ,Chandigarh +23 other locations,3.5,462,9
2363,Venky's,Food Processing ,Pune +69 other locations,3.7,462,4
2364,Titagarh Rail Systems,Railways ,Kolkata +18 other locations,2.7,462,6
2365,Bandhan Life,Insurance ,Mumbai +88 other locations,3.2,462,47
2366,Aimil Pharmaceuticals,Pharma ,New Delhi +60 other locations,3.6,461,2
