,name,sector,location,rating,reviews,jobs
0,TCS,IT Services & Consulting ,Bengaluru +441 other locations,3.3,1.1L,4.4k
1,Accenture,IT Services & Consulting ,Bengaluru +259 other locations,3.7,73.1k,35.7k
2,Wipro,IT Services & Consulting ,Hyderabad +373 other locations,3.6,64.8k,367
3,Cognizant,IT Services & Consulting ,Hyderabad +231 other locations,3.7,61.2k,466
4,Capgemini,IT Services & Consulting ,Bengaluru +180 other locations,3.6,53k,2.1k
5,HDFC Bank,Banking ,Mumbai +1844 other locations,3.8,52k,297
6,Infosys,IT Services & Consulting ,Bengaluru +243 other locations,3.5,48.6k,2.2k
7,HCLTech,IT Services & Consulting ,Chennai +231 other locations,3.4,45.8k,232
8,ICICI Bank,Banking ,Mumbai +1442 other locations,4.0,45.7k,14
9,Tech Mahindra,IT Services & Consulting ,Hyderabad +322 other locations,3.4,43.1k,610
10,Genpact,Analytics & KPO ,Hyderabad +181 other locations,3.6,42k,840
11,TP,BPO ,Mumbai +254 other locations,3.8,38.2k,1.6k
12,Jio,Telecom ,Mumbai +1956 other locations,4.4,33.5k,--
13,Axis Bank,Banking ,Mumbai +1516 other locations,3.6,33k,211
14,Concentrix Corporation,BPO ,Bengaluru +181 other locations,3.6,32.1k,9
15,Amazon,Internet ,Bengaluru +515 other locations,3.9,31.3k,2.6k
16,Reliance Retail,Retail ,Mumbai +1157 other locations,3.9,27.2k,121
17,iEnergizer,BPO ,Noida +51 other locations,4.6,26.9k,93
18,LTIMindtree,IT Services & Consulting ,Bengaluru +144 other locations,3.6,26.4k,561
19,IBM,IT Services & Consulting ,Bengaluru +161 other locations,3.9,25.7k,2k
20,HDB Financial Services,NBFC ,Mumbai +1090 other locations,3.9,25.5k,2.1k
21,Larsen & Toubro Limited,Engineering & Construction ,Chennai +761 other locations,3.9,23.8k,258
22,Deloitte,Management Consulting ,Hyderabad +182 other locations,3.7,23k,2k
23,Kotak Mahindra Bank,Banking ,Mumbai +689 other locations,3.6,22.3k,163
24,Reliance Industries,Oil & Gas ,Jamnagar +819 other locations,4.0,20.1k,70
25,Vodafone Idea,Telecom ,Pune +704 other locations,3.9,17.5k,79
26,Bharti Airtel,Telecom ,Gurugram +788 other locations,3.8,17k,188
27,BYJU'S,EdTech ,Bengaluru +321 other locations,3.2,16.3k,1
28,WNS,IT Services & Consulting ,Pune +65 other locations,3.3,15.2k,100
29,IDFC FIRST Bank,Banking ,Mumbai +724 other locations,3.9,14.5k,31
30,Ernst & Young,Management Consulting ,Bengaluru +134 other locations,3.4,14.5k,5.2k
31,IndusInd Bank,Banking ,Mumbai +796 other locations,3.4,14.2k,135
32,AU Small Finance Bank,Banking ,Jaipur +798 other locations,3.8,14.2k,222
33,Tata Motors,Automobile ,Pune +507 other locations,4.1,14.1k,181
34,Muthoot FinCorp,NBFC ,Bengaluru +1120 other locations,4.6,13.1k,65
35,Bajaj Finserv,NBFC ,Pune +1190 other locations,4.0,13k,2
36,Flipkart,Internet ,Bengaluru +553 other locations,3.9,12.9k,103
37,PwC,Management Consulting ,Bengaluru +135 other locations,3.3,12.5k,1.2k
38,Mahindra & Mahindra,Automobile ,Pune +565 other locations,4.0,12k,2
39,Infosys BPM,BPO ,Bengaluru +95 other locations,3.5,12k,62
40,HDFC Life,Insurance ,Mumbai +712 other locations,3.9,12k,109
41,DXC Technology,IT Services & Consulting ,Bengaluru +130 other locations,3.6,11.9k,192
42,Bandhan Bank,Banking ,Kolkata +1007 other locations,3.7,11k,19
43,Digitide Solutions,IT Services & Consulting ,Hyderabad +272 other locations,3.5,10.3k,328
44,Mphasis,IT Services & Consulting ,Bengaluru +64 other locations,3.3,10.2k,56
45,Yes Bank,Banking ,Mumbai +541 other locations,3.7,10.1k,193
46,Tata Steel,Iron & Steel ,Jamshedpur +226 other locations,4.0,9.8k,--
47,Quess,Recruitment ,Bengaluru +755 other locations,3.8,9.7k,33
48,Asian Paints,Chemicals ,Mumbai +556 other locations,3.9,9.5k,100
49,Maruti Suzuki,Automobile ,Gurugram +455 other locations,4.1,9.5k,728
50,Startek,BPO ,Bengaluru +103 other locations,3.1,9.4k,275
51,UltraTech Cement,Building Material ,Mumbai +538 other locations,4.2,9.4k,44
52,Paytm,FinTech ,Noida +422 other locations,3.2,9.3k,874
53,Bajaj Finance,NBFC ,Pune +993 other locations,3.9,9.1k,6.5k
54,Shriram Finance,NBFC ,Chennai +1117 other locations,3.9,9.1k,10
55,Sutherland Global Services,BPO ,Chennai +82 other locations,3.4,9k,291
56,Equitas Small Finance Bank,Banking ,Chennai +483 other locations,4.4,8.8k,28
57,Wells Fargo,Financial Services ,Bengaluru +27 other locations,3.6,8.6k,211
58,EXL Service,Analytics & KPO ,Noida +61 other locations,3.6,8.6k,1.6k
59,Cipla,Pharma ,Mumbai +294 other locations,4.1,8.6k,34
60,Ericsson,Telecom ,Noida +160 other locations,3.9,8.4k,34
61,Samsung,Consumer Electronics & Appliances ,Noida +581 other locations,3.9,8.3k,29
62,Dr. Reddy's,Pharma ,Hyderabad +214 other locations,4.0,8.2k,14
63,Optum Global Solutions,IT Services & Consulting ,Hyderabad +68 other locations,4.0,7.9k,295
64,JSW Steel,Iron & Steel ,Ballari +198 other locations,3.9,7.8k,122
65,JPMorgan Chase & Co.,Financial Services ,Bengaluru +55 other locations,3.8,7.8k,719
66,Delhivery,Logistics ,Gurugram +760 other locations,3.8,7.8k,195
67,ICICI Prudential Life Insurance,Insurance ,Mumbai +508 other locations,3.9,7.7k,200
68,Hexaware Technologies,IT Services & Consulting ,Chennai +69 other locations,3.4,7.7k,379
69,Ujjivan Small Finance Bank,Banking ,Bengaluru +539 other locations,4.0,7.6k,88
70,Jana Small Finance Bank,Banking ,Bengaluru +422 other locations,3.7,7.6k,47
71,Sun Pharmaceutical Industries,Pharma ,Vadodara +263 other locations,4.1,7.6k,427
72,HGS,Emerging Technologies ,Bengaluru +122 other locations,3.7,7.5k,12
73,Amazon Development Centre India,Internet ,Hyderabad +147 other locations,3.8,7.5k,3
74,Zydus Lifesciences,Pharma ,Ahmedabad +180 other locations,4.0,7.4k,43
75,Ekart Logistics,Logistics ,Bengaluru +739 other locations,3.9,7.4k,3
76,Lupin,Pharma ,Pune +203 other locations,4.1,7.3k,28
77,KPMG India,Management Consulting ,Bengaluru +112 other locations,3.4,7.3k,108
78,L&T Construction,Engineering & Construction ,Chennai +435 other locations,4.0,7.3k,--
79,Hindustan Unilever,FMCG ,Mumbai +543 other locations,4.2,7.2k,12
80,Axis Max Life Insurance,Insurance ,New Delhi +505 other locations,4.0,7.2k,163
81,ITC,FMCG ,Bengaluru +378 other locations,3.9,7.1k,81
82,Megha Engineering & Infrastructures,Engineering & Construction ,Hyderabad +407 other locations,3.9,6.9k,26
83,Coforge,IT Services & Consulting ,Noida +103 other locations,3.3,6.8k,160
84,Tata Projects,Engineering & Construction ,Mumbai +285 other locations,4.2,6.8k,43
85,Bajaj Life Insurance,Insurance ,Pune +616 other locations,3.8,6.6k,76
86,Cholamandalam Investment & Finance,Financial Services ,Chennai +861 other locations,3.8,6.6k,33
87,L&T Technology Services,IT Services & Consulting ,Bengaluru +94 other locations,3.1,6.6k,--
88,FIS,FinTech ,Pune +59 other locations,3.8,6.6k,159
89,Oracle,Software Product ,Bengaluru +56 other locations,3.4,6.5k,84
90,Omega Healthcare,BPO ,Chennai +69 other locations,3.8,6.4k,202
91,JLL,Real Estate ,Gurugram +86 other locations,4.1,6.4k,382
92,Muthoot Finance,NBFC ,Bengaluru +791 other locations,3.7,6.3k,159
93,IIFL Finance,NBFC ,Mumbai +808 other locations,4.0,6.3k,53
94,eClerx,IT Services & Consulting ,Pune +32 other locations,3.1,6.3k,459
95,Indian Army,Defence & Aerospace ,New Delhi +360 other locations,4.7,6.2k,--
96,Virtusa Consulting Services,IT Services & Consulting ,Hyderabad +55 other locations,3.7,6.1k,676
97,DMart,Retail ,Mumbai +254 other locations,3.9,6.1k,249
98,HCL Group,IT Services & Consulting ,Chennai +96 other locations,3.5,6.1k,--
99,PolicyBazaar,Internet ,Gurugram +154 other locations,3.8,6k,1.2k
100,HSBC Group,Financial Services ,Bengaluru +63 other locations,3.8,6k,139
101,Piramal Finance,NBFC ,Mumbai +427 other locations,4.2,6k,6
102,Indiamart Intermesh,Internet ,Noida +169 other locations,3.5,5.9k,147
103,SMFG India Credit,NBFC ,Mumbai +602 other locations,3.9,5.9k,104
104,Access Healthcare,BPO ,Chennai +62 other locations,3.7,5.9k,1.8k
105,BigBasket,Internet ,Bengaluru +143 other locations,3.8,5.8k,72
106,Siemens,Industrial Automation ,Bengaluru +155 other locations,3.9,5.8k,1.5k
107,Aurobindo Pharma,Pharma ,Hyderabad +115 other locations,4.0,5.8k,26
108,ICICI Lombard General Insurance Company,Insurance ,Mumbai +320 other locations,3.5,5.8k,230
109,Manappuram Finance,NBFC ,Bengaluru +660 other locations,3.9,5.7k,30
110,GlobalLogic,IT Services & Consulting ,Hyderabad +61 other locations,3.5,5.7k,55
111,Firstsource Solutions,BPO ,Bengaluru +74 other locations,3.5,5.7k,109
112,Tata Capital,NBFC ,Mumbai +449 other locations,4.0,5.7k,3.3k
113,Udaan,Internet ,Bengaluru +366 other locations,3.9,5.7k,11
114,UST,IT Services & Consulting ,Bengaluru +52 other locations,3.7,5.7k,60
115,Shapoorji Pallonji Group,Engineering & Construction ,Mumbai +189 other locations,4.1,5.7k,72
116,Standard Chartered,Banking ,Chennai +68 other locations,3.6,5.7k,--
117,Apollo Hospitals,Healthcare ,Chennai +225 other locations,4.0,5.6k,241
118,Bosch Global Software Technologies,IT Services & Consulting ,Bengaluru +47 other locations,3.7,5.6k,11
119,Mahindra Finance,NBFC ,Mumbai +736 other locations,3.9,5.6k,100
120,Swiggy,Internet ,Bengaluru +238 other locations,3.7,5.6k,208
121,Ashok Leyland,Automobile ,Chennai +265 other locations,4.0,5.6k,4
122,Citicorp,Financial Services ,Pune +68 other locations,3.6,5.5k,--
123,Hero MotoCorp,Automobile ,Gurugram +369 other locations,4.1,5.4k,2
124,CGI Group,IT Services & Consulting ,Bengaluru +43 other locations,4.0,5.4k,465
125,Cyient,IT Services & Consulting ,Hyderabad +49 other locations,3.6,5.3k,92
126,BNY,Financial Services ,Pune +27 other locations,3.6,5.3k,104
127,SBI Cards & Payment Services,Financial Services ,Gurugram +445 other locations,3.6,5.3k,110
128,NTT DATA,IT Services & Consulting ,Bengaluru +81 other locations,3.8,5.2k,14
129,Kalpataru Projects International,Engineering & Construction ,Mumbai +325 other locations,4.2,5.2k,2
130,IQVIA,Clinical Research ,Bengaluru +67 other locations,3.7,5.2k,31
131,Nagarjuna Construction Company,Engineering & Construction ,Hyderabad +298 other locations,4.0,5.2k,16
132,JustDial,Internet ,Noida +234 other locations,3.5,5.1k,48
133,Schneider Electric,Industrial Automation ,Bengaluru +121 other locations,4.1,5.1k,528
134,CBRE,Real Estate ,Hyderabad +92 other locations,4.1,5.1k,165
135,SBI Life Insurance Company,Insurance ,Mumbai +656 other locations,3.7,5.1k,13
136,TVS Motor,Automobile ,Hosur +351 other locations,3.9,5.1k,119
137,Persistent Systems,IT Services & Consulting ,Pune +42 other locations,3.6,5k,289
138,State Bank of India,Banking ,Mumbai +622 other locations,3.8,4.9k,2
139,Atos,IT Services & Consulting ,Pune +49 other locations,3.8,4.9k,87
140,KEC International,Engineering & Construction ,Mumbai +316 other locations,4.0,4.9k,20
141,vivo,Consumer Electronics & Appliances ,Noida +414 other locations,4.1,4.9k,18
142,ITC Infotech,IT Services & Consulting ,Bengaluru +68 other locations,3.8,4.9k,66
143,Amdocs,Software Product ,Pune +24 other locations,3.6,4.9k,13
144,Ecom Express,Logistics ,Gurugram +776 other locations,4.1,4.8k,--
145,JBM Group,Auto Components ,Gurugram +118 other locations,3.9,4.8k,163
146,Varun Beverages,Beverage ,New Delhi +383 other locations,4.0,4.8k,50
147,Eviden,IT Services & Consulting ,Pune +39 other locations,3.6,4.8k,--
148,Nagarro,IT Services & Consulting ,Gurugram +48 other locations,3.9,4.7k,310
149,Utkarsh Small Finance Bank,Banking ,Varanasi +416 other locations,3.6,4.7k,25
150,Randstad,Recruitment ,Hyderabad +365 other locations,3.7,4.7k,13
151,Bosch,Auto Components ,Bengaluru +132 other locations,4.1,4.7k,--
152,EY Global Delivery Services ( EY GDS),IT Services & Consulting ,Bengaluru +56 other locations,3.5,4.7k,8
153,Hewlett Packard Enterprise,IT Services & Consulting ,Bengaluru +104 other locations,4.0,4.6k,255
154,L&T Finance,NBFC ,Mumbai +647 other locations,3.9,4.6k,--
155,Aditya Birla Fashion and Retail,Fashion & Textile ,Bengaluru +292 other locations,4.0,4.6k,59
156,Havells,Electrical Equipment ,Noida +264 other locations,3.9,4.6k,34
157,Cars24,Internet ,Gurugram +172 other locations,3.4,4.6k,68
158,Mahindra Logistics,Logistics ,Mumbai +233 other locations,3.7,4.6k,160
159,Intas Pharmaceuticals,Pharma ,Ahmedabad +150 other locations,4.1,4.6k,47
160,R1 RCM,BPO ,New Delhi +48 other locations,3.8,4.6k,190
161,Home Credit Finance,NBFC ,Gurugram +139 other locations,4.0,4.5k,104
162,Dell,Consumer Electronics & Appliances ,Bengaluru +114 other locations,3.8,4.5k,42
163,Tata AIA Life Insurance,Insurance ,Mumbai +448 other locations,3.9,4.5k,897
164,Hetero,Pharma ,Hyderabad +70 other locations,3.9,4.5k,77
165,Deutsche Bank,Banking ,Pune +42 other locations,3.9,4.5k,547
166,OPPO,Consumer Electronics & Appliances ,Greater Noida +406 other locations,3.9,4.4k,10
167,Berger Paints,Chemicals ,Kolkata +364 other locations,3.7,4.4k,115
168,Hyundai Motor India Limited,Automobile ,Chennai +289 other locations,4.1,4.4k,1
169,Lenskart,Internet ,New Delhi +248 other locations,3.3,4.4k,175
170,Motilal Oswal Financial Services,Financial Services ,Mumbai +169 other locations,3.7,4.4k,48
171,TeamLease Services,Recruitment ,Bengaluru +403 other locations,3.9,4.4k,--
172,VE Commercial Vehicles,Automobile ,Indore +180 other locations,3.9,4.3k,27
173,Thermax Limited,Industrial Machinery ,Pune +256 other locations,4.2,4.3k,52
174,Jubilant Foods Works,Hospitality ,Noida +267 other locations,3.7,4.2k,325
175,Carelon Global Solutions,IT Services & Consulting ,Bengaluru +20 other locations,3.9,4.2k,84
176,Macleods Pharmaceuticals,Pharma ,Mumbai +136 other locations,3.7,4.2k,36
177,Aakash Educational Services,Education & Training ,New Delhi +249 other locations,3.2,4.2k,85
178,Bajaj Auto,Automobile ,Pune +323 other locations,3.8,4.2k,40
179,LG Electronics,Consumer Electronics & Appliances ,Pune +300 other locations,3.8,4.1k,12
180,Jindal Steel Limited,Iron & Steel ,Angul +173 other locations,3.9,4.1k,69
181,Kogta Financial India Limited,NBFC ,Jaipur +260 other locations,4.7,4.1k,139
182,State Street Corporation,Financial Services ,Bengaluru +35 other locations,3.5,4.1k,12
183,Hindalco Industries,Metals & Mining ,Sambalpur +130 other locations,4.2,4.1k,27
184,Cloudnine Hospital,Healthcare ,Bengaluru +46 other locations,4.5,4.1k,16
185,Royal Enfield,Automobile ,Chennai +373 other locations,4.2,4.1k,4
186,HDFC ERGO General Insurance,Insurance ,Mumbai +325 other locations,4.0,4k,73
187,John Deere,Industrial Machinery ,Pune +154 other locations,4.0,4k,5
188,DCB Bank,Banking ,Mumbai +345 other locations,3.8,4k,16
189,Tata Communications,Telecom ,Pune +100 other locations,3.9,4k,209
190,RBL Bank,Banking ,Mumbai +290 other locations,3.5,4k,30
191,Cummins,Industrial Machinery ,Pune +115 other locations,4.3,4k,112
192,Publicis Sapient,IT Services & Consulting ,Bengaluru +46 other locations,3.2,4k,215
193,Bank of America,Banking ,Gurugram +34 other locations,4.1,3.9k,--
194,Alembic Pharmaceuticals,Pharma ,Vadodara +187 other locations,3.9,3.9k,70
195,Pidilite Industries,Chemicals ,Mumbai +319 other locations,4.2,3.9k,28
196,Oyo Rooms,Internet ,Gurugram +121 other locations,3.0,3.9k,150
197,Grasim Industries,Building Material ,Bharuch +259 other locations,4.0,3.9k,5
198,Aditya Birla Sun Life Insurance,Insurance ,Mumbai +503 other locations,4.0,3.9k,1
199,American Express,Financial Services ,Gurugram +54 other locations,4.1,3.9k,45
200,Kyndryl,IT Services & Consulting ,Bengaluru +39 other locations,4.0,3.8k,2
201,Subros,Auto Components ,Noida +88 other locations,3.8,3.8k,2
202,PNB MetLife,Insurance ,New Delhi +431 other locations,3.3,3.8k,21
203,ADP Private Limited,Software Product ,Hyderabad +41 other locations,3.9,3.8k,59
204,Altruist Technologies,BPO ,Bengaluru +43 other locations,4.4,3.8k,6
205,Aditya Birla Capital,NBFC ,Mumbai +344 other locations,3.8,3.8k,--
206,XpressBees,Logistics ,Pune +479 other locations,4.2,3.8k,10
207,Viatris,Pharma ,Hyderabad +80 other locations,4.1,3.8k,3
208,Escorts Kubota Limited,Industrial Machinery ,Faridabad +157 other locations,4.1,3.8k,1
209,PVR INOX,Media & Entertainment ,New Delhi +151 other locations,3.9,3.8k,28
210,Reliance Communications,Telecom ,Mumbai +465 other locations,4.0,3.8k,--
211,Maersk,Logistics ,Chennai +49 other locations,4.0,3.8k,53
212,KPIT Technologies,Software Product ,Pune +43 other locations,2.9,3.8k,27
213,Birlasoft,IT Services & Consulting ,Pune +49 other locations,3.4,3.7k,657
214,Synechron,IT Services & Consulting ,Pune +33 other locations,3.4,3.7k,98
215,JK Cement,Building Material ,New Delhi +333 other locations,4.0,3.7k,1
216,Glenmark Pharmaceuticals,Pharma ,Mumbai +188 other locations,3.8,3.7k,114
217,Kotak Mahindra Life Insurance Company,Insurance ,Mumbai +258 other locations,3.5,3.7k,171
218,Bharat Electronics,Electronics Manufacturing ,Bengaluru +87 other locations,4.2,3.7k,1
219,Sodexo,Facility Management Services ,Mumbai +161 other locations,4.0,3.7k,944
220,Dabur,FMCG ,New Delhi +319 other locations,3.8,3.7k,37
221,Cogent E Services,BPO ,Noida +57 other locations,3.1,3.6k,2
222,Godrej & Boyce Manufacturing,Consumer Electronics & Appliances ,Mumbai +168 other locations,3.9,3.6k,53
223,Abbott,Pharma ,Mumbai +214 other locations,4.1,3.6k,248
224,PhonePe,FinTech ,Bengaluru +400 other locations,4.0,3.6k,126
225,Samvardhana Motherson Group,Auto Components ,Noida +94 other locations,3.7,3.6k,30
226,Ipca Laboratories,Pharma ,Mumbai +162 other locations,3.8,3.6k,47
227,Aarti Industries,Agro Chemicals ,Bharuch +59 other locations,4.1,3.6k,65
228,Reliance Projects & Property Management Services,Other ,Kolkata +625 other locations,4.0,3.6k,--
229,Blinkit,Internet ,Gurugram +156 other locations,3.8,3.6k,--
230,UNO Minda,Auto Components ,Pune +110 other locations,4.0,3.6k,63
231,Reliance Digital,Retail ,Mumbai +380 other locations,4.1,3.6k,--
232,IGT Solutions,BPO ,New Delhi +47 other locations,3.2,3.5k,74
233,MRF Tyres,Auto Components ,Chennai +194 other locations,3.6,3.5k,19
234,Indian Oil Corporation,Oil & Gas ,New Delhi +310 other locations,4.3,3.5k,--
235,ArcelorMittal Nippon Steel India,Iron & Steel ,Surat +87 other locations,4.1,3.5k,8
236,Johnson Controls,Industrial Automation ,Pune +58 other locations,3.5,3.5k,5
237,Alkem Laboratories,Pharma ,Mumbai +199 other locations,3.9,3.5k,23
238,"NTT DATA, Inc.",IT Services & Consulting ,Bengaluru +37 other locations,3.9,3.5k,87
239,Honda Motorcycle & Scooter,Automobile ,Gurugram +300 other locations,4.1,3.5k,--
240,[24]7.ai,Software Product ,Bengaluru +36 other locations,3.4,3.5k,65
241,Vishal Mega Mart,Retail ,New Delhi +378 other locations,3.7,3.4k,4
242,UBS,Financial Services ,Pune +19 other locations,3.8,3.4k,2
243,Hindustan Coca Cola Beverages,Beverage ,Bengaluru +263 other locations,4.0,3.4k,56
244,Barclays,Banking ,Pune +38 other locations,3.7,3.4k,--
245,Bajaj General Insurance Limited,Insurance ,Pune +306 other locations,3.7,3.4k,392
246,IndusInd Nippon Life Insurance,Mumbai +489 other locations,,3.4,3.4k,1
247,ABB,Industrial Machinery ,Bengaluru +108 other locations,4.0,3.4k,425
248,DTDC Express,Logistics ,New Delhi +273 other locations,3.7,3.4k,38
249,Ceat Tyres,Auto Components ,Nagpur +141 other locations,3.9,3.4k,49
250,Ford Motor,Automobile ,Chennai +130 other locations,4.2,3.4k,1
251,TVS Credit Services Ltd,NBFC ,Chennai +442 other locations,4.2,3.4k,30
252,NatWest Group,Banking ,Gurugram +29 other locations,3.9,3.3k,51
253,RSPL Group,FMCG ,Kanpur +256 other locations,4.1,3.3k,85
254,AGS Health,Analytics & KPO ,Chennai +64 other locations,4.0,3.3k,51
255,HARMAN,Consumer Electronics & Appliances ,Bengaluru +42 other locations,3.8,3.3k,119
256,Croma,Retail ,Mumbai +192 other locations,3.8,3.3k,38
257,Conduent,BPO ,Bengaluru +35 other locations,3.4,3.3k,315
258,Niva Bupa Health Insurance Company,Insurance ,New Delhi +323 other locations,4.0,3.3k,133
259,Alstom Transportation,Engineering & Construction ,Bengaluru +80 other locations,3.7,3.3k,242
260,InterGlobe Aviation,Aviation ,New Delhi +104 other locations,3.5,3.3k,37
261,Indian Air Force,Defence & Aerospace ,New Delhi +134 other locations,4.6,3.3k,2
262,Tata Technologies,Engineering & Construction ,Pune +57 other locations,3.4,3.2k,132
263,Tata AIG,Insurance ,Mumbai +261 other locations,4.0,3.2k,110
264,GeBBS Healthcare Solutions,BPO ,Mumbai +26 other locations,3.8,3.2k,85
265,UPL,Agro Chemicals ,Ankleshwar +184 other locations,4.1,3.2k,32
266,Allcargo Logistics,Logistics ,Mumbai +175 other locations,3.8,3.2k,34
267,Canara HSBC Life Insurance,Insurance ,Gurugram +358 other locations,4.1,3.2k,--
268,PepsiCo,Food Processing ,Hyderabad +281 other locations,4.0,3.2k,208
269,Max Healthcare,Healthcare ,New Delhi +76 other locations,4.0,3.1k,138
270,Sagility,BPO ,Bengaluru +28 other locations,3.9,3.1k,100
271,Dilip Buildcon,Engineering & Construction ,Bhopal +230 other locations,3.9,3.1k,12
272,Mankind Pharma,Pharma ,New Delhi +247 other locations,3.8,3.1k,7
273,Marpu Foundation,Non-Profit ,Hyderabad +61 other locations,4.9,3.1k,--
274,Amazon Transportation Services,Logistics ,Hyderabad +223 other locations,4.2,3.1k,--
275,Titan Company,Retail ,Bengaluru +184 other locations,4.2,3.1k,115
276,Jindal Stainless,Iron & Steel ,Jajpur +77 other locations,4.2,3.1k,102
277,Walmart,Retail ,Bengaluru +91 other locations,3.5,3.1k,288
278,Societe Generale Global Solution Centre,IT Services & Consulting ,Bengaluru +23 other locations,3.6,3.1k,90
279,Varroc Group,Auto Components ,Pune +61 other locations,3.6,3.1k,24
280,S&P Global,Analytics & KPO ,Hyderabad +47 other locations,4.0,3.1k,304
281,MSN Laboratories,Pharma ,Hyderabad +105 other locations,3.6,3.1k,29
282,Quest Global,IT Services & Consulting ,Bengaluru +49 other locations,3.5,3.1k,217
283,Afcons Infrastructure,Engineering & Construction ,Mumbai +123 other locations,4.2,3.1k,38
284,Torrent Pharmaceuticals,Pharma ,Ahmedabad +131 other locations,4.0,3.1k,31
285,Ola Electric Mobility,Automobile ,Bengaluru +436 other locations,3.3,3k,--
286,ESAF Small Finance Bank,Banking ,Thrissur +456 other locations,3.6,3k,60
287,IDFC FIRST Bharat,Financial Services ,Chennai +440 other locations,4.2,3k,9
288,Future Group,Retail ,Mumbai +207 other locations,4.3,3k,--
289,Square Yards,Internet ,Gurugram +51 other locations,3.6,3k,82
290,HDFC Sales,Financial Services ,Mumbai +350 other locations,3.9,3k,48
291,CMS IT Services,IT Services & Consulting ,Mumbai +152 other locations,3.1,3k,46
292,Zensar Technologies,IT Services & Consulting ,Pune +29 other locations,3.7,3k,387
293,Tata Elxsi,IT Services & Consulting ,Bengaluru +30 other locations,3.4,3k,51
294,DS Group,FMCG ,Noida +285 other locations,4.1,3k,56
295,Bharat Financial Inclusion,Financial Services ,Hyderabad +503 other locations,3.7,3k,6
296,I Process Services,Recruitment ,Mumbai +405 other locations,3.8,3k,--
297,Suzlon Group,Power ,Pune +144 other locations,4.0,3k,16
298,ACC,Building Material ,Mumbai +274 other locations,3.9,2.9k,13
299,Fujitsu,IT Services & Consulting ,Pune +41 other locations,3.8,2.9k,112
300,Eternal Limited,Internet ,Gurugram +218 other locations,3.6,2.9k,8
301,Indus Towers,Telecom ,Gurugram +241 other locations,3.6,2.9k,31
302,VVDN Technologies,IT Services & Consulting ,Gurugram +49 other locations,3.6,2.9k,7
303,Shoppers Stop,Retail ,Mumbai +85 other locations,4.0,2.9k,33
304,Nokia,Telecom ,Bengaluru +165 other locations,4.0,2.9k,211
305,IKS Health,Healthcare ,Mumbai +31 other locations,3.6,2.9k,27
306,Tata Electronics,Semiconductors ,Hosur +56 other locations,3.9,2.9k,143
307,Zepto,Internet ,Bengaluru +107 other locations,3.5,2.9k,39
308,Yazaki,Auto Components ,Pune +94 other locations,3.9,2.9k,1
309,Apollo Tyres,Auto Components ,Chennai +178 other locations,4.0,2.9k,8
310,Fiserv,FinTech ,Pune +33 other locations,2.8,2.8k,29
311,Shree Cement,Building Material ,Beawar +258 other locations,3.8,2.8k,14
312,Britannia,FMCG ,Pune +306 other locations,4.0,2.8k,21
313,Landmark Group,Retail ,Bengaluru +175 other locations,3.8,2.8k,6
314,Dalmia Bharat Cement,Building Material ,Guwahati +255 other locations,3.9,2.8k,1
315,UnitedHealth,Healthcare ,Hyderabad +18 other locations,4.0,2.8k,--
316,SRF,Chemicals ,Bharuch +67 other locations,4.1,2.8k,11
317,Blue Dart Express Ltd,Logistics ,Mumbai +278 other locations,3.9,2.8k,2
318,Kansai Nerolac Paints,Chemicals ,Mumbai +258 other locations,3.8,2.8k,69
319,Nestlé,FMCG ,Gurugram +281 other locations,3.7,2.8k,35
320,Exide Industries,Auto Components ,Kolkata +199 other locations,3.4,2.7k,54
321,Shell,Oil & Gas ,Bengaluru +91 other locations,3.9,2.7k,88
322,ZS,Management Consulting ,Pune +17 other locations,3.1,2.7k,137
323,Exl India,Logistics ,New Delhi +45 other locations,3.5,2.7k,1
324,Star Health & Allied Insurance,Insurance ,Chennai +334 other locations,3.5,2.7k,31
325,Flex,Electronics Manufacturing ,Chennai +46 other locations,3.9,2.7k,55
326,KPMG Global Services,Management Consulting ,Bengaluru +38 other locations,3.4,2.7k,33
327,Micro Labs,Pharma ,Bengaluru +153 other locations,3.6,2.7k,21
328,Whitehat jr,EdTech ,Mumbai +48 other locations,3.3,2.7k,--
329,TVS Supply Chain Solutions,Logistics ,Chennai +154 other locations,3.8,2.7k,14
330,ElasticRun,Logistics ,Pune +389 other locations,3.6,2.7k,2
331,Capita,BPO ,Pune +32 other locations,3.5,2.7k,42
332,Physicswallah,EdTech ,Noida +136 other locations,3.6,2.7k,313
333,KFintech,Financial Services ,Hyderabad +113 other locations,3.4,2.7k,6
334,G4S,Law Enforcement & Security ,Gurugram +164 other locations,4.0,2.6k,753
335,Foxconn,Electronics Manufacturing ,Chennai +64 other locations,3.8,2.6k,25
336,Ajanta Pharma,Pharma ,Mumbai +117 other locations,3.9,2.6k,37
337,Voltas,Consumer Electronics & Appliances ,Mumbai +202 other locations,4.0,2.6k,22
338,Blue Star,Consumer Electronics & Appliances ,Mumbai +147 other locations,4.1,2.6k,103
339,Care Health Insurance,Insurance ,Gurugram +250 other locations,3.5,2.6k,47
340,Sonalika Tractors,Automobile ,Hoshiarpur +195 other locations,3.5,2.6k,20
341,Movate,IT Services & Consulting ,Chennai +38 other locations,3.1,2.6k,119
342,Gallagher,Insurance ,Bengaluru +29 other locations,3.6,2.6k,138
343,BlackBuck,Internet ,Bengaluru +362 other locations,3.7,2.6k,30
